artistId,artistName,trackId,trackName,artistPopularity,trackPopularity,trackExplicitness,contentAdvisoryRating,trackNumber,trackTimeMillis,trackPrice,isStreamable,previewUrl,collectionId,collectionName,collectionCensoredName,trackCount,discNumber,discCount,collectionPrice,primaryGenreName,releaseDate,currency,kind
32940,Michael Jackson,159294541,Another Part of Me,87.0,,notExplicit,,7,226586,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/a4/b3/96/a4b3961a-1373-51e8-fea1-a391ab841136/mzaf_13124962062832561516.plus.aac.p.m4a,159292399,The Essential Michael Jackson,The Essential Michael Jackson,17,2,2,16.99,Pop,1987-08-31T07:00:00Z,USD,song
80456331,Panic! At the Disco,1050385384,LA Devotee,,,notExplicit,,7,196523,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/54/44/e2/5444e26e-02d9-735a-1c47-e9226504a143/mzaf_14615875791048267912.plus.aac.p.m4a,1050385369,Death of a Bachelor,Death of a Bachelor,11,1,1,9.99,Alternative,2016-01-15T08:00:00Z,USD,song
178834,Bruce Springsteen,203709340,Dancing In the Dark,80.0,82.0,notExplicit,,11,245298,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3c/a8/0a/3ca80ac1-92fe-8d9f-e97c-469bdb4f19f9/mzaf_2843471731886662529.plus.aac.p.m4a,203708420,Born In the U.S.A.,Born In the U.S.A.,12,1,1,9.99,Rock,1984-05-04T07:00:00Z,USD,song
178834,Bruce Springsteen,203709340,Dancing In the Dark,80.0,82.0,notExplicit,,11,245298,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3c/a8/0a/3ca80ac1-92fe-8d9f-e97c-469bdb4f19f9/mzaf_2843471731886662529.plus.aac.p.m4a,203708420,Born In the U.S.A.,Born In the U.S.A.,12,1,1,9.99,Rock,1984-05-04T07:00:00Z,USD,song
258069,Toby Keith,1452802587,"Courtesy of the Red, White and Blue (The Angry American)",72.0,70.0,notExplicit,,4,195040,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/8c/7a/cd/8c7acd79-c0c0-094f-cfb0-92b138d0328b/mzaf_17192041940315379332.plus.aac.p.m4a,1452801021,35 Biggest Hits,35 Biggest Hits,17,2,2,16.99,Country,2002-01-01T12:00:00Z,USD,song
32940,Michael Jackson,159295746,Dangerous,87.0,,notExplicit,,15,419909,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/83/44/bc/8344bc60-c729-8d73-e00a-7ae04be8cde4/mzaf_15219940702893141182.plus.aac.p.m4a,159292399,The Essential Michael Jackson,The Essential Michael Jackson,17,2,2,16.99,Pop,1991-11-26T08:00:00Z,USD,song
32940,Michael Jackson,159295746,Dangerous,87.0,,notExplicit,,15,419909,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/83/44/bc/8344bc60-c729-8d73-e00a-7ae04be8cde4/mzaf_15219940702893141182.plus.aac.p.m4a,159292399,The Essential Michael Jackson,The Essential Michael Jackson,17,2,2,16.99,Pop,1991-11-26T08:00:00Z,USD,song
20062518,Kimya Dawson,269737210,Tire Swing,56.0,54.0,notExplicit,,6,187413,-1.0,False,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/5b/1d/3f/5b1d3f27-040b-bf97-ac7b-ea3d683f9453/mzaf_8057230966802753917.plus.aac.p.m4a,269736803,Juno (Music from the Motion Picture),Juno (Music from the Motion Picture),19,1,1,11.99,Soundtrack,2006-05-07T12:00:00Z,USD,song
70936,Johnny Cash with June Carter Cash,251002611,Jackson (with June Carter Cash),,,notExplicit,,3,164733,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/59/93/2c/59932c85-b992-47b1-ccb5-501fa2e916b1/mzaf_9929434127780936487.plus.aac.p.m4a,251001680,The Essential Johnny Cash,The Essential Johnny Cash,18,2,2,14.99,Country,1967-02-06T08:00:00Z,USD,song
389270799,Tyler Farr,692225585,Whiskey in My Water,47.0,49.0,notExplicit,,4,188680,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/97/e7/52/97e75213-859c-4ffd-66eb-bf7d1e4eb64b/mzaf_17992826335673265998.plus.aac.p.m4a,692225284,Redneck Crazy,Redneck Crazy,11,1,1,9.99,Country,2013-09-30T07:00:00Z,USD,song
690319057,Dan + Shay,1383989668,Speechless,73.0,66.0,notExplicit,,7,212747,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a2/04/11/a204118a-196f-9767-5376-67792a178979/mzaf_5524857585321215116.plus.aac.p.m4a,1383989073,Dan + Shay,Dan + Shay,11,1,1,10.99,Country,2018-05-18T07:00:00Z,USD,song
367483402,Rock Mafia,401135350,The Big Bang,51.0,61.0,notExplicit,,1,160200,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/1f/00/ff/1f00ffaf-64cb-3262-191a-547593537114/mzaf_11914218772152924862.plus.aac.p.m4a,401135332,The Big Bang - Single,The Big Bang - Single,1,1,1,1.29,Pop,2010-10-29T12:00:00Z,USD,song
315816847,Glee Cast,398792754,"Baby, It's Cold Outside (feat. Darren Criss)",73.0,67.0,notExplicit,,4,166547,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/09/56/98/09569867-2226-20de-74a6-1588cd30e774/mzaf_7302870820808242710.plus.aac.p.m4a,398792552,"Glee: The Music, The Christmas Album","Glee: The Music, The Christmas Album",12,1,1,10.99,Christmas: Pop,2010-11-09T08:00:00Z,USD,song
318083238,New Boyz,436575122,Better With the Lights Off (feat. Chris Brown),50.0,41.0,explicit,Explicit,10,219080,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1a/46/dd/1a46dd9e-99f6-c41f-3691-88911aea7aa6/mzaf_833685727931304199.plus.aac.p.m4a,436575112,Too Cool To Care,Too Cool To Care,16,1,1,13.99,Hip-Hop/Rap,2011-05-13T12:00:00Z,USD,song
82842423,Khalid,1200868874,Young Dumb & Broke,83.0,81.0,notExplicit,,2,202535,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/db/26/89/db26893a-32c1-2c9b-236d-99198289a0f9/mzaf_10705526323260258425.plus.aac.p.m4a,1200868601,American Teen,American Teen,15,1,1,9.99,R&B/Soul,2017-02-02T12:00:00Z,USD,song
1053549,Eagles,635829446,Take It Easy,81.0,,notExplicit,,1,211579,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/9d/59/76/9d59760b-8a26-8135-aab0-acfc5e562299/mzaf_7801428242367310016.plus.aac.p.m4a,635829435,Their Greatest Hits 1971-1975,Their Greatest Hits 1971-1975,10,1,1,9.99,Rock,1972-05-01T07:00:00Z,USD,song
547019,The Hollies,192970184,Long Cool Woman (In a Black Dress),67.0,79.0,notExplicit,,5,197360,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/74/a6/c4/74a6c49b-d3bb-ff4f-9eb5-24c5c3874c30/mzaf_3103555405480284388.plus.aac.p.m4a,192969896,The Hollies' Greatest Hits,The Hollies' Greatest Hits,13,1,1,9.99,Rock,1971-10-08T07:00:00Z,USD,song
20541131,Brandon Heath,287465938,Give Me Your Eyes,52.0,52.0,notExplicit,,1,232630,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/87/e1/1d/87e11d33-2f61-a0ef-ec00-3cfbe56bdbd5/mzaf_5410922312825868348.plus.aac.p.m4a,287465894,What If We,What If We,11,1,1,9.99,Christian,2008-01-01T12:00:00Z,USD,song
5305761,Keyshia Cole & Diddy,200683835,Last Night (feat. Keyshia Cole),,,explicit,Explicit,17,388226,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/b3/a4/38/b3a43862-aa28-2485-5f7a-13f92d575d38/mzaf_2507837793777754450.plus.aac.p.m4a,200682208,Press Play,Press Play,19,1,1,10.99,Hip-Hop/Rap,2006-10-16T07:00:00Z,USD,song
396754057,One Direction,1040171625,Love You Goodbye,85.0,,notExplicit,,11,196939,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ee/3d/df/ee3ddf2b-ce88-f260-a946-548745aab2aa/mzaf_9611815871749299877.plus.aac.p.m4a,1040170924,Made In The A.M. (Deluxe Edition),Made In The A.M.,17,1,1,14.99,Pop,2015-11-13T08:00:00Z,USD,song
4488522,P!nk,545398136,Are We All We Are,80.0,,explicit,Explicit,1,217919,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/22/b0/fc/22b0fc3c-4e1e-b3a5-68ad-47c7f9eb9d98/mzaf_15866237278274064778.plus.aac.p.m4a,545398133,The Truth About Love,The Truth About Love,15,1,1,10.99,Pop,2012-09-14T07:00:00Z,USD,song
